Alexander Smirnov,Alexander Smirnov (bridge)
Alvin Landy,Alvin Landy (bridge)
Bill Root,Bill Root (bridge)
Charles Coon,Charles Coon (bridge)
Dan Morse,Dan Morse (bridge)
David Berkowitz,David Berkowitz (bridge)
David Bruce,David Bruce (bridge)
David Carter,David Carter (bridge)
Edith Kemp Freilich,Edith Freilich
Fred Hamilton,Fred Hamilton (bridge)
Fred Kaplan,Fred Kaplan (bridge)
Fred Stewart,Fred Stewart (bridge)
Gail Moss,Gail Moss (bridge)
George Jacobs,George Jacobs (bridge)
Hjordis Eythorsdottir,Disa Eythorsdottir
Hugh Ross,Hugh Ross (bridge)
Jan Martel,Jan Martel (bridge)
John Diamond,John Diamond (bridge)
John Gerber,John Gerber (bridge)
John Swanson,John Swanson (bridge)
Larry Cohen,Larry Cohen (bridge)
Larry T. Cohen,Larry T. Cohen (bridge)
Larry Gould,Larry Gould (bridge)
Mike Lawrence,Mike Lawrence (bridge)
Mike Levin,Mike Levin (bridge)
Norman Kay,Norman Kay (bridge)
Richard Freeman,Richard Freeman (bridge)
Richard Schwartz,Richard Schwartz (bridge)
Robert Levin,Bobby Levin
Ron Rubin,Ron Rubin (bridge)
Steve Robinson,Steve Robinson (bridge)
Victor Mitchell,Victor Mitchell (bridge)
William Flannery,William Flannery (bridge)
William Grieve,William Grieve (bridge)
Waldemar K. von Zedtwitz,Waldemar von Zedtwitz
