1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,Albert Morehead
1997,Lee Hazen
1998,Dave Treadwell
1999,Kathie Wei-Sender
2000,George Rosenkranz
2001,Alan Truscott
2002,Ira G. Corn Jr.
2003,Henry Francis
2004,Amalya Kearse
2004,Jeff Rubens
2005,Marshall Miles
2006,Richard Goldberg
2007,none
2008,Jerry Machlin
2009,Aileen Osofsky
2010,Tom Stoddard
2011,Eric Kokish
2012,Jan Martel
2013,
2014,
