1952,John Crawford
1953,Milton Ellenby
1954,David Carter
1955,Paul Hodge
1956,Tobias Stone
1957,John Crawford
1958,Helen Sobel
1959,Ira Rubin
1960,Boris Koytchou
1961,Marshall Miles
1962,Ira Rubin
1963,Alvin Roth
1964,Percy Sheardown
1965,Alvin Roth
1966,Alvin Roth
1967,Phil Feldesman
1968,Jim Jacoby
1969,Bob Hamman
1970,Dave Strasberg
1971,Barbara Rappaport
1972,B. Jay Becker
1973,Richard Katz
1974,Richard Shepherd
1975,Grant Baze
1976,Richard Katz
1977,Ken Cohen
1978,Mike Passell
1979,Bobby Wolff
1980,Peter Weichsel
1981,Ralph Katz
1982,Mike Smolen
1983,Bob Hamman
1984,Steve Sion
1985,Bill Passell
1986,Mark Lair
1987,Danny Rotman
1988,Helen Utegaard
1989,Zeke Jabbour
1990,Ron Rubin
1990,Michael Becker
1991,Eric Rodwell
1992,Juanita Chambers
1993,John Sutherlin
1994,Lynn Deas
1995,Nick Nickell
1995,Dick Freeman
1996,Jeff Meckstroth
1997,Steve Garner
1998,Paul Soloway
1999,Eric Rodwell
2000,Rose Meltzer
2000,Kyle Larsen
2000,Chip Martel  
2000,Lew Stansby
2000,Peter Weichsel
2001,Ralph Katz
2002,Tobi Sokolow
2003,Michael Rosenberg
2004,Jeff Meckstroth
2004,Eric Rodwell
2005,Geoff Hampson
2006,Bjorn Fallenius
2007,Jeff Meckstroth
2007,Eric Rodwell
2008,Migry Zur Campanile
