2014,Leventritt Silver Ribbon Pairs,1,Bernie Yomtov,,,
2014,Leventritt Silver Ribbon Pairs,1,Allen Hawkins,,,
2014,Leventritt Silver Ribbon Pairs,2,Allan Siebert,,,
2014,Leventritt Silver Ribbon Pairs,2,Don Caton,,,
2013,Leventritt Silver Ribbon Pairs,1,Mike Cappelletti Sr,,,
2013,Leventritt Silver Ribbon Pairs,1,Robert Wieland,,,
2013,Leventritt Silver Ribbon Pairs,2,Richard Brown,,,
2013,Leventritt Silver Ribbon Pairs,2,Hugh Brown Jr,,,
2012,Leventritt Silver Ribbon Pairs,1,Fred Hamilton,,,
2012,Leventritt Silver Ribbon Pairs,1,Jim Sternberg,,,
2012,Leventritt Silver Ribbon Pairs,2,Sheila Gabay,,,
2012,Leventritt Silver Ribbon Pairs,2,Lloyd Arvedon,,,
2011,Leventritt Silver Ribbon Pairs,1,Richard DeMartino,,,
2011,Leventritt Silver Ribbon Pairs,1,John Stiefel,,,
2011,Leventritt Silver Ribbon Pairs,2,Don Stack,,,
2011,Leventritt Silver Ribbon Pairs,2,Tom Kniest,,,
2010,Leventritt Silver Ribbon Pairs,1,Gloria Bart,,,
2010,Leventritt Silver Ribbon Pairs,1,Les Bart,,,
2010,Leventritt Silver Ribbon Pairs,2,Rob Crawford,,,
2010,Leventritt Silver Ribbon Pairs,2,Hadi Allahverdian,,,
2009,Leventritt Silver Ribbon Pairs,1,Dan Suty,,,
2009,Leventritt Silver Ribbon Pairs,1,Jim Hilton,,,
2009,Leventritt Silver Ribbon Pairs,2,Gaylor Kasle,,,
2009,Leventritt Silver Ribbon Pairs,2,Lewis Finkel,,,
2008,Leventritt Silver Ribbon Pairs,1,Morrie Kleinplatz,,,
2008,Leventritt Silver Ribbon Pairs,1,Sheldon Kirsch,,,
2008,Leventritt Silver Ribbon Pairs,2,Gaylor Kasle,,,
2008,Leventritt Silver Ribbon Pairs,2,Lewis Finkel,,,
2007,Leventritt Silver Ribbon Pairs,1,Alan Stout,,,
2007,Leventritt Silver Ribbon Pairs,1,Allan Siebert,,,
2007,Leventritt Silver Ribbon Pairs,2,Charles Nemes,,,
2007,Leventritt Silver Ribbon Pairs,2,Martin Morris,,,
2006,Leventritt Silver Ribbon Pairs,1,Gaylor Kasle,,,
2006,Leventritt Silver Ribbon Pairs,1,Lewis Finkel,,,
2006,Leventritt Silver Ribbon Pairs,2,Marla Chaikin,,,
2006,Leventritt Silver Ribbon Pairs,2,William Esberg,,,
2005,Leventritt Silver Ribbon Pairs,1,Marla Chaikin,,,
2005,Leventritt Silver Ribbon Pairs,1,William Esberg,,,
2005,Leventritt Silver Ribbon Pairs,2,John Zilic,,,
2005,Leventritt Silver Ribbon Pairs,2,Thomas Peters,,,
2004,Leventritt Silver Ribbon Pairs,1,Ed Schulte,,,
2004,Leventritt Silver Ribbon Pairs,1,Joseph Godefrin,,,
2004,Leventritt Silver Ribbon Pairs,2,G. Gard Hays,,,
2004,Leventritt Silver Ribbon Pairs,2,Jerry Premo,,,
2003,Leventritt Silver Ribbon Pairs,1,Alan Popkin,,,
2003,Leventritt Silver Ribbon Pairs,1,Roger Lord,,,
2003,Leventritt Silver Ribbon Pairs,2,Bernace DeYoung,,,
2003,Leventritt Silver Ribbon Pairs,2,John Russell,,,
2002,Leventritt Silver Ribbon Pairs,1,Marilyn Hemenway,,,
2002,Leventritt Silver Ribbon Pairs,1,Mike Albert,,,
2002,Leventritt Silver Ribbon Pairs,2,Diane Shannon,,,
2002,Leventritt Silver Ribbon Pairs,2,Donald Rothschild,,,
2001,Leventritt Silver Ribbon Pairs,1,Fred Hamilton,,,
2001,Leventritt Silver Ribbon Pairs,1,Steve Catlett,,,
2001,Leventritt Silver Ribbon Pairs,2,Ethan Stein,,,
2001,Leventritt Silver Ribbon Pairs,2,Gerald Caravelli,,,
2000,Leventritt Silver Ribbon Pairs,1,Charles Coon,,,
2000,Leventritt Silver Ribbon Pairs,1,Rhoda Walsh,,,
2000,Leventritt Silver Ribbon Pairs,2,Gerald Caravelli,,,
2000,Leventritt Silver Ribbon Pairs,2,Marc Low,,,
1999,Leventritt Silver Ribbon Pairs,1,Corinne Kirkham,,,
1999,Leventritt Silver Ribbon Pairs,1,Jim Kirkham,,,
1999,Leventritt Silver Ribbon Pairs,2,Gerald Caravelli,,,
1999,Leventritt Silver Ribbon Pairs,2,Godfrey Chang,,,
1998,Leventritt Silver Ribbon Pairs,1,Bill Sides,,,
1998,Leventritt Silver Ribbon Pairs,1,Eli Borok,,,
1998,Leventritt Silver Ribbon Pairs,2,Dudley Brown,,,
1998,Leventritt Silver Ribbon Pairs,2,Richard Budd,,,
1997,Leventritt Silver Ribbon Pairs,1,Chuck Said,,,
1997,Leventritt Silver Ribbon Pairs,1,John Russell,,,
1997,Leventritt Silver Ribbon Pairs,2,Nell Cahn,,,
1997,Leventritt Silver Ribbon Pairs,2,Rebecca Rogers,,,
1996,Leventritt Silver Ribbon Pairs,1,Martin Hoffman,,,
1996,Leventritt Silver Ribbon Pairs,1,Phil Karani,,,
1996,Leventritt Silver Ribbon Pairs,2,Ed Lewis,,,
1996,Leventritt Silver Ribbon Pairs,2,Frank King,,,
1995,Leventritt Silver Ribbon Pairs,1,Gene Freed,,,
1995,Leventritt Silver Ribbon Pairs,1,Peter Benjamin,,,
1995,Leventritt Silver Ribbon Pairs,2,Lloyd Loux,,,
1995,Leventritt Silver Ribbon Pairs,2,Marge Cox,,,
1994,Leventritt Silver Ribbon Pairs,1,Jayne Thomas,,,
1994,Leventritt Silver Ribbon Pairs,1,Virgil Anderson,,,
1994,Leventritt Silver Ribbon Pairs,2,Betty Wilton,,,
1994,Leventritt Silver Ribbon Pairs,2,Herb Wilton,,,
1993,Leventritt Silver Ribbon Pairs,1,Helen Shanbrom,,,
1993,Leventritt Silver Ribbon Pairs,1,Joan Remey Moore,,,
1993,Leventritt Silver Ribbon Pairs,2,Corinne Kirkham,,,
1993,Leventritt Silver Ribbon Pairs,2,Jim Kirkham,,,
1992,Leventritt Silver Ribbon Pairs,1,Irv Steinfeldt,,,
1992,Leventritt Silver Ribbon Pairs,1,James Leary,,,
1992,Leventritt Silver Ribbon Pairs,2,Fred Hamilton,,,
1992,Leventritt Silver Ribbon Pairs,2,George Rosenkranz,,,
