2014,NABC+ Fast Open Pairs,1,Adam Grossack,,,
2014,NABC+ Fast Open Pairs,1,Zachary Grossack,,,
2014,NABC+ Fast Open Pairs,2,Marcin Mazurkiewicz,,,
2014,NABC+ Fast Open Pairs,2,Krzysztof Jassem,,,
2013,NABC+ Fast Open Pairs,1,Larry Sealy,,,
2013,NABC+ Fast Open Pairs,1,Jim Munday,,,
2013,NABC+ Fast Open Pairs,2,Krzysztof Jassem,,,
2013,NABC+ Fast Open Pairs,2,Marcin Mazurkiewicz,,,
2012,NABC+ Fast Open Pairs,1,Ed Schulte,,,
2012,NABC+ Fast Open Pairs,1,Tom Kniest,,,
2012,NABC+ Fast Open Pairs,2,Ishmael Del'Monte,,,
2012,NABC+ Fast Open Pairs,2,Thomas Bessis,,,
2011,NABC+ Fast Open Pairs,1,John Diamond,,,
2011,NABC+ Fast Open Pairs,1,Geoff Hampson,,,
2011,NABC+ Fast Open Pairs,2,Robert McCaw,,,
2011,NABC+ Fast Open Pairs,2,Lewis Gamerman,,,
2010,NABC+ Fast Open Pairs,1,Dan Jacob,,,
2010,NABC+ Fast Open Pairs,1,Nagy Kamel,,,
2010,NABC+ Fast Open Pairs,2,Steve Shirey,,,
2010,NABC+ Fast Open Pairs,2,Allan Stauber,,,
2009,NABC+ Fast Open Pairs,1,Dick Bruno,,,
2009,NABC+ Fast Open Pairs,1,Peggy Kaplan,,,
2009,NABC+ Fast Open Pairs,2,Bob Etter,,,
2009,NABC+ Fast Open Pairs,2,John Hodges,,,
2008,NABC+ Fast Open Pairs,1,Adam Wildavsky,,,
2008,NABC+ Fast Open Pairs,1,Doug Doub,,,
2008,NABC+ Fast Open Pairs,2,Brian Platnick,,,
2008,NABC+ Fast Open Pairs,2,John Diamond,,,
2007,NABC+ Fast Open Pairs,1,Bobby Levin,,,
2007,NABC+ Fast Open Pairs,1,Geoff Hampson,,,
2007,NABC+ Fast Open Pairs,2,Eldad Ginossar,,,
2007,NABC+ Fast Open Pairs,2,Ron Pachtmann,,,
2006,NABC+ Fast Open Pairs,1,Nicolas L'Ecuyer,,,
2006,NABC+ Fast Open Pairs,1,Robert Lebi,,,
2006,NABC+ Fast Open Pairs,2,Adam Wildavsky,,,
2006,NABC+ Fast Open Pairs,2,Doug Doub,,,
2005,NABC+ Fast Open Pairs,1,Chris Willenken,,,
2005,NABC+ Fast Open Pairs,1,Ralph Buchalter,,,
2005,NABC+ Fast Open Pairs,2,Jiang Gu,,,
2005,NABC+ Fast Open Pairs,2,Xiaodong Shi,,,
2004,NABC+ Fast Open Pairs,1,Peter Weiden,,,
2004,NABC+ Fast Open Pairs,1,Rick Zucker,,,
2004,NABC+ Fast Open Pairs,2,Adam Wildavsky,,,
2004,NABC+ Fast Open Pairs,2,Doug Doub,,,
2003,NABC+ Fast Open Pairs,1,Joel Wooldridge,,,
2003,NABC+ Fast Open Pairs,1,John Hurd,,,
2003,NABC+ Fast Open Pairs,2,Ed Schulte,,,
2003,NABC+ Fast Open Pairs,2,Joseph Godefrin,,,
2002,NABC+ Fast Open Pairs,1,Alan Kleist,,,
2002,NABC+ Fast Open Pairs,1,Leo LaSota,,,
2002,NABC+ Fast Open Pairs,2,Chris Willenken,,,
2002,NABC+ Fast Open Pairs,2,Ron Smith,,,
2001,NABC+ Fast Open Pairs,1,Jim Robison,,,
2001,NABC+ Fast Open Pairs,1,Mark Itabashi,,,
2001,NABC+ Fast Open Pairs,2,Earl Glickstein,,,
2001,NABC+ Fast Open Pairs,2,Robert Bell,,,
2000,NABC+ Fast Open Pairs,1,Aaron Silverstein,,,
2000,NABC+ Fast Open Pairs,1,Chris Willenken,,,
2000,NABC+ Fast Open Pairs,2,Linda Lewis,,,
2000,NABC+ Fast Open Pairs,2,Paul J. Lewis,,,
