2014,Silodor Open Pairs,1,John Diamond,,,
2014,Silodor Open Pairs,1,Geoff Hampson,,,
2014,Silodor Open Pairs,2,Zachary Grossack,,,
2014,Silodor Open Pairs,2,Richard Budd,,,
2013,Silodor Open Pairs,1,David Bakhshi,,,
2013,Silodor Open Pairs,1,Billy Cohen,,,
2013,Silodor Open Pairs,2,Larry Robbins,,,
2013,Silodor Open Pairs,2,Robert Giragosian,,,
2012,Silodor Open Pairs,1,Dennis Bilde,,,
2012,Silodor Open Pairs,1,Hans Christian Graverson,,,
2012,Silodor Open Pairs,2,Boye Brogeland,,,
2012,Silodor Open Pairs,2,Erik Saelensminde,,,
2011,Silodor Open Pairs,1,Joel Wooldridge,,,
2011,Silodor Open Pairs,1,Gavin Wolpert,,,
2011,Silodor Open Pairs,2,Jill Meyers,,,
2011,Silodor Open Pairs,2,Jill Levin,,,
2010,Silodor Open Pairs,1,Steve Landen,,,
2010,Silodor Open Pairs,1,Nicolas L'Ecuyer,,,
2010,Silodor Open Pairs,2,Chris Larsen,,,
2010,Silodor Open Pairs,2,Joe Kivel,,,
2009,Silodor Open Pairs,1,David Berkowitz,,,
2009,Silodor Open Pairs,1,Larry N. Cohen,,,
2009,Silodor Open Pairs,2,David Yang,,,
2009,Silodor Open Pairs,2,Xiaodong Shi,,,
2008,Silodor Open Pairs,1,Dan Jacob,,,
2008,Silodor Open Pairs,1,Robert Lebi,,,
2008,Silodor Open Pairs,2,Migry Zur-Campanile,,,
2008,Silodor Open Pairs,2,Ralph Buchalter,,,
2007,Silodor Open Pairs,1,Giorgio Duboin,,,
2007,Silodor Open Pairs,1,Roy Welland,,,
2007,Silodor Open Pairs,2,Richard Freeman,,,
2007,Silodor Open Pairs,2,Zia Mahmood,,,
2006,Silodor Open Pairs,1,David Berkowitz,,,
2006,Silodor Open Pairs,1,Larry N. Cohen,,,
2006,Silodor Open Pairs,2,Fred Chang,,,
2006,Silodor Open Pairs,2,Zia Mahmood,,,
2005,Silodor Open Pairs,1,Bob Morris,,,
2005,Silodor Open Pairs,1,Eddie Wold,,,
2005,Silodor Open Pairs,2,Alfredo Versace,,,
2005,Silodor Open Pairs,2,George Jacobs,,,
2004,Silodor Open Pairs,1,David Berkowitz,,,
2004,Silodor Open Pairs,1,Larry N. Cohen,,,
2004,Silodor Open Pairs,2,Jacqueline Sincoff,,,
2004,Silodor Open Pairs,2,Roger Lord,,,
2003,Silodor Open Pairs,1,Michael Rosenberg,,,
2003,Silodor Open Pairs,1,Ralph Katz,,,
2003,Silodor Open Pairs,2,Martin Fleisher,,,
2003,Silodor Open Pairs,2,Michael Kamil,,,
2002,Silodor Open Pairs,1,Boerre Lund,,,
2002,Silodor Open Pairs,1,Joergen Molberg,,,
2002,Silodor Open Pairs,2,David Berkowitz,,,
2002,Silodor Open Pairs,2,Larry N. Cohen,,,
2001,Silodor Open Pairs,1,Jim Tritt,,,
2001,Silodor Open Pairs,1,Richard Meffley,,,
2001,Silodor Open Pairs,2,Henry Bethe,,,
2001,Silodor Open Pairs,2,Varis Carey,,,
2000,Silodor Open Pairs,1,Lawrence Hicks,,,
2000,Silodor Open Pairs,1,Mike Cappelletti Jr.,,,
2000,Silodor Open Pairs,2,Doug Simson,,,
2000,Silodor Open Pairs,2,Walter Johnson,,,
1999,Silodor Open Pairs,1,Michael Seamon,,,
1999,Silodor Open Pairs,1,Mike Passell,,,
1999,Silodor Open Pairs,2,Bob Hamman,,,
1999,Silodor Open Pairs,2,Petra Hamman,,,
1998,Silodor Open Pairs,1,Geir Helgemo,,,
1998,Silodor Open Pairs,1,Tony Forrester,,,
1998,Silodor Open Pairs,2,Michael Kamil,,,
1998,Silodor Open Pairs,2,Mike Becker,,,
1997,Silodor Open Pairs,1,Eric Greco,,,
1997,Silodor Open Pairs,1,Geoff Hampson,,,
1997,Silodor Open Pairs,2,Geir Helgemo,,,
1997,Silodor Open Pairs,2,Tony Forrester,,,
1996,Silodor Open Pairs,1,Howard Weinstein,,,
1996,Silodor Open Pairs,1,Ralph Katz,,,
1996,Silodor Open Pairs,2,Ed Manfield,,,
1996,Silodor Open Pairs,2,Kit Woolsey,,,
1995,Silodor Open Pairs,1,Evan Bailey,,,
1995,Silodor Open Pairs,1,John Strauch,,,
1995,Silodor Open Pairs,2,Seymon Deutsch,,,
1995,Silodor Open Pairs,2,Tony Forrester,,,
1994,Silodor Open Pairs,1,Allan Falk,,,
1994,Silodor Open Pairs,1,Lloyd Arvedon,,,
1994,Silodor Open Pairs,2,Michael Rosenberg,,,
1994,Silodor Open Pairs,2,Zia Mahmood,,,
1993,Silodor Open Pairs,1,Peter Weichsel,,,
1993,Silodor Open Pairs,1,Russ Ekeblad,,,
1993,Silodor Open Pairs,2,Drew Casen,,,
1993,Silodor Open Pairs,2,Richard Schwartz,,,
1992,Silodor Open Pairs,1,Jeff Meckstroth,,,
1992,Silodor Open Pairs,1,Perry Johnson,,,
1992,Silodor Open Pairs,2,S. James Elliott,,,
1992,Silodor Open Pairs,2,Tony Glynne,,,
1991,Silodor Open Pairs,1,Henry Bethe,,,
1991,Silodor Open Pairs,1,Larry Mori,,,
1991,Silodor Open Pairs,2,Fred Chang,,,
1991,Silodor Open Pairs,2,Zia Mahmood,,,
1990,Silodor Open Pairs,1,Barry Harper,,,
1990,Silodor Open Pairs,1,Don Campbell,,,
1990,Silodor Open Pairs,2,Glenn Lublin,,,
1990,Silodor Open Pairs,2,Randy Joyce,,,
1989,Silodor Open Pairs,1,Ed Manfield,,,
1989,Silodor Open Pairs,1,Kit Woolsey,,,
1989,Silodor Open Pairs,2,Ed Nagy,,,
1989,Silodor Open Pairs,2,Jeff Polisner,,,
1988,Silodor Open Pairs,1,Mike Becker,,,
1988,Silodor Open Pairs,1,Ron Rubin,,,
1988,Silodor Open Pairs,2,Bob Hamman,,,
1988,Silodor Open Pairs,2,Paul J. Lewis,,,
1987,Silodor Open Pairs,1,Ed Manfield,,,
1987,Silodor Open Pairs,1,Kit Woolsey,,,
1987,Silodor Open Pairs,2,Lyle Poe,,,
1987,Silodor Open Pairs,2,Steve Carton,,,
1986,Silodor Open Pairs,1,Lew Stansby,,,
1986,Silodor Open Pairs,1,Ralph Katz,,,
1986,Silodor Open Pairs,2,John Rengstorff,,,
1986,Silodor Open Pairs,2,Robb Gordon,,,
1985,Silodor Open Pairs,1,Jim Robison,,,
1985,Silodor Open Pairs,1,Joey Silver,,,
1985,Silodor Open Pairs,2,David Berkowitz,,,
1985,Silodor Open Pairs,2,John Roberts,,,
1984,Silodor Open Pairs,1,Bart Bramley,,,
1984,Silodor Open Pairs,1,Lou Bluhm,,,
1984,Silodor Open Pairs,2,Barry Crane,,,
1984,Silodor Open Pairs,2,Gerald Caravelli,,,
1983,Silodor Open Pairs,1,Barry Crane,,,
1983,Silodor Open Pairs,1,Mike Passell,,,
1983,Silodor Open Pairs,2,Dan Gerstman,,,
1983,Silodor Open Pairs,2,David Berkowitz,,,
1982,Silodor Open Pairs,1,Craig Janitschke,,,
1982,Silodor Open Pairs,1,Gerald Caravelli,,,
1982,Silodor Open Pairs,2,Dan Gerstman,,,
1982,Silodor Open Pairs,2,Marc Nathan,,,
1981,Silodor Open Pairs,1,Dan Gerstman,,,
1981,Silodor Open Pairs,1,Marc Nathan,,,
1981,Silodor Open Pairs,2,Ed Manfield,,,
1981,Silodor Open Pairs,2,Kit Woolsey,,,
1980,Silodor Open Pairs,1,Michael Schreiber,,,
1980,Silodor Open Pairs,1,Paul J. Lewis,,,
1980,Silodor Open Pairs,2,Jim Robison,,,
1980,Silodor Open Pairs,2,Stelios Touchtidis,,,
1979,Silodor Open Pairs,1,Eric Rodwell,,,
1979,Silodor Open Pairs,1,Jeff Meckstroth,,,
1979,Silodor Open Pairs,2,Dan Zirker,,,
1979,Silodor Open Pairs,2,Larry N. Cohen,,,
1978,Silodor Open Pairs,1,Bobby Levin,,,
1978,Silodor Open Pairs,1,Mike Passell,,,
1978,Silodor Open Pairs,2,Marty Arndt,,,
1978,Silodor Open Pairs,2,Thomas Peters,,,
1977,Silodor Open Pairs,1,Barry Crane,,,
1977,Silodor Open Pairs,1,Peter Rank,,,
1977,Silodor Open Pairs,2,John Ashton,,,
1977,Silodor Open Pairs,2,Troy Horton,,,
1976,Silodor Open Pairs,1,Ernest Ivey,,,
1976,Silodor Open Pairs,1,Terry Hause,,,
1976,Silodor Open Pairs,2,Barry Crane,,,
1976,Silodor Open Pairs,2,Dr. John Fisher,,,
1975,Silodor Open Pairs,1,Daniel Hyland,,,
1975,Silodor Open Pairs,1,Garey Hayden,,,
1975,Silodor Open Pairs,2,Dave Saltsman,,,
1975,Silodor Open Pairs,2,Don Piafsky,,,
1974,Silodor Open Pairs,1,Barry Crane,,,
1974,Silodor Open Pairs,1,Dr. John Fisher,,,
