2014,Wernher Open Pairs,1,Marc Nathan,,,
2014,Wernher Open Pairs,1,Jose Robles,,,
2014,Wernher Open Pairs,2,Giuseppe Failla,,,
2014,Wernher Open Pairs,2,Dario Attanasio,,,
2013,Wernher Open Pairs,1,Valentin Kovachev,,,
2013,Wernher Open Pairs,1,Lynne Rosenbaum,,,
2013,Wernher Open Pairs,2,Larry Sealy,,,
2013,Wernher Open Pairs,2,Jim Foster,,,
2012,Wernher Open Pairs,1,David Lindop,,,
2012,Wernher Open Pairs,1,Robert Lebi,,,
2012,Wernher Open Pairs,2,Pamela Miller,,,
2012,Wernher Open Pairs,2,James Rasmussen,,,
2011,Wernher Open Pairs,1,Meyer Kotkin,,,
2011,Wernher Open Pairs,1,Howard Cohen,,,
2011,Wernher Open Pairs,2,Robb Gordon,,,
2011,Wernher Open Pairs,2,Richard Margolis,,,
2010,Wernher Open Pairs,1,Beatrice Kemp,,,
2010,Wernher Open Pairs,1,Richard Burton,,,
2010,Wernher Open Pairs,2,Tom Carmichael,,,
2010,Wernher Open Pairs,2,Jeff Roman,,,
2009,Wernher Open Pairs,1,Nicolas L'Ecuyer,,,
2009,Wernher Open Pairs,1,Nikolay Demirev,,,
2009,Wernher Open Pairs,2,Alan Kleist,,,
2009,Wernher Open Pairs,2,Tim Crank,,,
2008,Wernher Open Pairs,1,K.R. Venkataraman,,,
2008,Wernher Open Pairs,1,Sunit Chokshi,,,
2008,Wernher Open Pairs,2,Barry Piafsky,,,
2008,Wernher Open Pairs,2,Don Piafsky,,,
2007,Wernher Open Pairs,1,Joan Jackson,,,
2007,Wernher Open Pairs,1,Petra Hamman,,,
2007,Wernher Open Pairs,2,Daniel Korbel,,,
2007,Wernher Open Pairs,2,Jonathan Steinberg,,,
2006,Wernher Open Pairs,1,Jianrong Lin,,,
2006,Wernher Open Pairs,1,Julie Zhu,,,
2006,Wernher Open Pairs,2,Bob Etter,,,
2006,Wernher Open Pairs,2,Cameron Doner,,,
2005,Wernher Open Pairs,1,Nader Hanna,,,
2005,Wernher Open Pairs,1,Nagy Kamel,,,
2005,Wernher Open Pairs,2,Emory Whitaker,,,
2005,Wernher Open Pairs,2,Sam Marks,,,
2004,Wernher Open Pairs,1,Claudio Nunes,,,
2004,Wernher Open Pairs,1,Fulvio Fantoni,,,
2004,Wernher Open Pairs,2,Fred Stewart,,,
2004,Wernher Open Pairs,2,Kit Woolsey,,,
2003,Wernher Open Pairs,1,Eric Greco,,,
2003,Wernher Open Pairs,1,Geoff Hampson,,,
2003,Wernher Open Pairs,2,Dan Gerstman,,,
2003,Wernher Open Pairs,2,Kenneth L. Cohen,,,
2002,Wernher Open Pairs,1,Curtis Cheek,,,
2002,Wernher Open Pairs,1,Eric Greco,,,
2002,Wernher Open Pairs,2,Geoff Hampson,,,
2002,Wernher Open Pairs,2,Renee Mancuso,,,
2001,Wernher Open Pairs,1,Chris Willenken,,,
2001,Wernher Open Pairs,1,Ron Smith,,,
2001,Wernher Open Pairs,2,Chris Larsen,,,
2001,Wernher Open Pairs,2,Joe Kivel,,,
2000,Wernher Open Pairs,1,Pratap Rajadhyaksha,,,
2000,Wernher Open Pairs,1,Steve Landen,,,
2000,Wernher Open Pairs,2,Harry Stratton,,,
2000,Wernher Open Pairs,2,Ken Kranyak,,,
1999,Wernher Open Pairs,1,Eric Rodwell,,,
1999,Wernher Open Pairs,1,Jeff Meckstroth,,,
1999,Wernher Open Pairs,2,Bobby Levin,,,
1999,Wernher Open Pairs,2,Steve Weinstein,,,
1998,Wernher Open Pairs,1,Bjorn Fallenius,,,
1998,Wernher Open Pairs,1,Michael Moss,,,
1998,Wernher Open Pairs,2,Evan Bailey,,,
1998,Wernher Open Pairs,2,Joe Kivel,,,
1997,Wernher Open Pairs,1,Allan Falk,,,
1997,Wernher Open Pairs,1,Lloyd Arvedon,,,
1997,Wernher Open Pairs,2,Bart Bramley,,,
1997,Wernher Open Pairs,2,Sidney H. Lazard,,,
1996,Wernher Open Pairs,1,David Berkowitz,,,
1996,Wernher Open Pairs,1,Larry N. Cohen,,,
1996,Wernher Open Pairs,2,Dick Yarington,,,
1996,Wernher Open Pairs,2,Jackie Buroker,,,
1995,Wernher Open Pairs,1,Fred Stewart,,,
1995,Wernher Open Pairs,1,Steve Weinstein,,,
1995,Wernher Open Pairs,2,Martin Caley,,,
1995,Wernher Open Pairs,2,Peter Schwartz Jr,,,
1994,Wernher Open Pairs,1,John Zilic,,,
1994,Wernher Open Pairs,1,Thomas Peters,,,
1994,Wernher Open Pairs,2,Curtis Cheek,,,
1994,Wernher Open Pairs,2,Steve Beatty,,,
1993,Wernher Open Pairs,1,Bobby Levin,,,
1993,Wernher Open Pairs,1,Gaylor Kasle,,,
1993,Wernher Open Pairs,2,Dennis Sorensen,,,
1993,Wernher Open Pairs,2,Eddie Wold,,,
1992,Wernher Open Pairs,1,Bernie Miller,,,
1992,Wernher Open Pairs,1,Mike Lucas,,,
1992,Wernher Open Pairs,2,Geoff Hampson,,,
1992,Wernher Open Pairs,2,Mark Molson,,,
1991,Wernher Open Pairs,1,Bob Thomas,,,
1991,Wernher Open Pairs,1,Kenneth L. Cohen,,,
1991,Wernher Open Pairs,2,JoAnna Stansby,,,
1991,Wernher Open Pairs,2,Lew Stansby,,,
