# OPEN WORLD LIFE MASTERS
Andrey GROMOV	Russia	2071	8.5
Josef PIEKAREK	Germany	1906	6
Krzysztof BURAS	Poland	1802	7.5
Alexander SMIRNOV	Germany	1698	6
Grzegorz NARKIEWICZ	Poland	1664	7.5
Alexander DUBININ	Russia	1663	7
Zejun ZHUANG	China	1599	8.5
Peter FREDIN	Sweden	1597	14.5
Johan UPMARK	Sweden	1543	5
Haojun SHI	China	1515	6.5
Per-Ola CULLIN	Sweden	1443	5
Jouri KHOKHLOV	Russia	1437	5.5
Bjorn FALLENIUS	Sweden	1425	19.5
Peter PENDER	U.S.A.	1424	8
Lixin YANG	China	1415	7.5
Krzysztof JASSEM	Poland	1305	8
Georgi MATUSHKO	Russia	1272	5
Jianming DAI	China	1265	8
Jie ZHAO	China	1245	9.5
Kevin BATHURST	U.S.A.	1232	6.5
Eldad GINOSSAR	Israel	1152	5
Jan JANSMA	Netherlands	1106	5
Ulf Haakon TUNDAL	Norway	1087	8
Krister AHLESVED	Sweden	1069	5
Jonas PETERSSON	Sweden	1069	5
Pratap RAJADHYAKSHA	U.S.A.	1044	4.75
Howard WEINSTEIN	U.S.A.	1001	10.75
Steve GARNER	U.S.A.	982	10.25
Miguel VILLAS-BOAS (Jr)	Brazil	941	6.5
Diego BRENNER	Brazil	939	6
Mark GORDON	U.S.A.	912	2
Marc BOMPIS	France	889	6
John DIAMOND	U.S.A.	859	8
Brian PLATNICK	U.S.A.	859	8
Lotan FISHER	Israel	821	2
Joao-Paulo CAMPOS	Brazil	789	9.5
Michael SEAMON	U.S.A.	773	6
Larry N. COHEN	U.S.A.	763	10
Terje AA	Norway	744	13.5
Dror PADON	Israel	697	2
Alon BIRMAN	Israel	677	2
Ron SCHWARTZ	Israel	671	2
Magnus LINDKVIST	Sweden	669	16.5
Franky Steven KARWUR	Indonesia	608	8
John R CRAWFORD	U.S.A.	593	7
Dominique PILON	France	572	3
Juei-Yu SHIH	Chinese Taipei	564	2
Russ EKEBLAD	U.S.A.	552	5.75
Steve ROBINSON	U.S.A.	530	7.5
Chen YEH	Chinese Taipei	524	2
Thomas BESSIS	France	523	2
Adalsteinn JORGENSEN	Iceland	517	8
Denny Jacob SAKUL	Indonesia	513	9.5
Henky LASUT	Indonesia	512	10
Peter BOYD	U.S.A.	507	5
Roland ROHOWSKY	Germany	496	3
Edgar KAPLAN	U.S.A.	490	7
Eddy M F MANOPPO	Indonesia	489	10
Guido FERRARO	Italy	489	8
George JACOBS	U.S.A.	489	7.75
Patrick K. H. HUANG	Chinese Taipei	466	8.5
Michel BESSIS	France	465	3
Samuel M STAYMAN	U.S.A.	451	5
Anders MORATH	Sweden	428	7.5
Eddie WOLD	U.S.A.	422	7
Jeff WOLFSON	U.S.A.	410	5
Chih-Kuo SHEN	Chinese Taipei	384	5
Marc JACOBUS	U.S.A.	379	5
Jens AUKEN	Denmark	377	7.5
Jon BALDURSSON	Iceland	374	7
Thorlakur JONSSON	Iceland	368	6
Christal HENNER	U.S.A.	359	5
Michael BECKER	U.S.A.	356	8.5
Carlo MARIANI	Italy	356	5
Apolinary KOWALSKI	Poland	354	4.5
Sam LEV	U.S.A.	340	7.5
B Jay BECKER	U.S.A.	340	5
George MITTELMAN	Canada	337	7
Per Olof SUNDELIN	Sweden	332	11
Okay GUR	Turkey	330	2
Hemant LALL	U.S.A.	316	2
Albert FAIGENBAUM	France	285	3
Marek SZYMANOWSKI	Poland	275	9
Leandro BURGAY	Italy	268	8
Andrea BURATTI	Italy	264	9.5
Massimo LANZAROTTI	Italy	260	9.5
Anton MAAS	Netherlands	257	7.5
Pierre GHESTEM	France	253	7.5
Philippe SOULET	France	252	8.5
Grant BAZE	U.S.A.	245	2.5
Howard SCHENKEN	U.S.A.	238	8
Reese MILNER	U.S.A.	230	2
Jane Alam FAZLI	Pakistan	224	6.5
Matt GRANOVETTER	U.S.A.	222	3
Wolfe THOMPSON	U.S.A.	217	2
Marc ZWERLING	U.S.A.	217	2
Jacek ROMANSKI	Poland	215	6.5
Marian FRENKIEL	Poland	204	3
Ricardo JANZ	Brazil	184	8.5
Mats NILSLAND	Sweden	183	7.5
Jan FUCIK	Austria	182	9
Wubbo DE BOER	Netherlands	181	8
Bob SLAVENBURG	Netherlands	174	8
Peter SCHNEIDER	U.S.A.	173	2
Tomasz PRZYBORA	Poland	168	8
George RAPEE	U.S.A.	167	5
John MOHAN	U.S.A.	166	5
Sven-Olov FLODQVIST	Sweden	162	8
Tommy GULLBERG	Sweden	154	9.5
Daniel LAVEE	Canada	148	2
Neil SILVERMAN	U.S.A.	147	6
Sidney SILODOR	U.S.A.	145	5
Kenneth KONSTAM	Great Britain	130	6
Bernard LUDEWIG	Germany	129	3
Julian KLUKOWSKI	Poland	128	6
Tezcan SEN	Turkey	117	2
Lewis MATHE	U.S.A.	116	4
Heinrich BERGER	Austria	114	12
Carlo MOSCA	Italy	111	8
Krzysztof LASOCKI	Poland	110	7
Eric O. KOKISH	Canada	105	8.5
Jean-Michel BOULENGER	France	105	8
Hans GOTHE	Sweden	101	8
Charles GOREN	U.S.A.	101	2
Antonio VIVALDI	Italy	100	9.5
Greg HINZE	U.S.A.	99	2
Dale JOHANNESEN	U.S.A.	99	2
Franz TERRANEO	Austria	95	9
Enri LEUFKENS	Netherlands	91	8
Jean-Louis STOPPA	France	90	3.5
Bjorn EYSTEINSSON	Iceland	77	2
Carlos CAMACHO	Brazil	76	8
Min-Fang TAI	Chinese Taipei	76	8
Gudmundur Pall ARNARSON	Iceland	75	5
Sidney LAZARD	U.S.A.	74	5.5
Piet JANSEN	Netherlands	72	5
Jan WESTERHOF	Netherlands	72	5
Peter NAGY	U.S.A.	69	7
Malcolm BRACHMAN	U.S.A.	67	1
John SOLODAR	U.S.A.	65	6
Edward A MANFIELD	U.S.A.	65	5
Max REBATTU	Netherlands	65	5
Gaylor KASLE	U.S.A.	65	4
Robert LIPSITZ	U.S.A.	64	5
Georg NIPPGEN	Germany	60	3
Jochen BITSCHENE	Germany	57	3
Clifford BISHOP	U.S.A.	54	0
Leslie DODDS	Great Britain	54	0
Robert SHEEHAN	England	52	6.5
Norman KAY	U.S.A.	51	14
Peter SCHALTZ	Denmark	51	5.5
Jean-Marc ROUDINESCO	France	50	5.5
Orn ARNTHORSSON	Iceland	43	2
Gudlaugur JOHANNSSON	Iceland	43	2
Russ ARNOLD	U.S.A.	37	6
Dorothy SHANAHAN	Great Britain	37	3
Theodore LIGHTNER	U.S.A.	37	0
Adam MEREDITH	Great Britain	37	0
Jordanis PAVLIDES	Great Britain	37	0
Andrzej WILKOSZ	Poland	32	7
Karl ROHAN	Austria	31	5
Eric MURRAY	Canada	21	18.5
Sammy KEHELA	Canada	21	16.5
Sergio BARBOSA	Brazil	20	8
Jon WITTES	U.S.A.	20	2
William ROOT	U.S.A.	19	8
Jim JACOBY	U.S.A.	19	5
Georges CATZEFLIS	Switzerland	16	1
Victor MITCHELL	U.S.A.	14	6.5
Barry CRANE	U.S.A.	14	2
Mark BLUMENTHAL	U.S.A.	12	4.5
Luis ATTAGUILE	Argentina	11	4.5
Harry S. C. LIN	Chinese Taipei	8	3
Duncan PHILLIPS	Canada	8	3
Leon TINTNER	France	7	4
Pietro BERNASCONI	Switzerland	7	1
Ron Von Der PORTEN	U.S.A.	5	5.5
