1966,1,Mary Jane Farell
1966,1,Ivan Erdos
1966,2,Joan Durran
1966,2,Maurice Weissberger
1970,1,Barbara Brier
1970,1,Waldemar von Zedtwitz
1970,2,Rixi Markus
1970,2,Georges Catzeflis
1974,1,Loula Gordon
1974,1,Tony Trad
1974,2,Jacqui Mitchell
1974,2,Jimmy Cayne
1978,1,Kerri Shuman
1978,1,Barry Crane
1978,2,Heitie Noland
1978,2,Jim Jacoby
1982,1,Dianna Gordon
1982,1,George Mittelman
1982,2,Peggy Sutherlin
1982,2,John Sutherlin
1986,1,Pam Wittes
1986,1,Jon Wittes
1986,2,Kerri Shuman
1986,2,Bob Hamman
1990,1,Juanita Chambers
1990,1,Peter Weichsel
1990,2,Eva-Liss Gothe
1990,2,Lars Andersson
1994,1,Danuta Hockeker
1994,1,Apolinary Kowalski
1994,2,Sabine Zenkel
1994,2,Bob Hamman
1998,1,Enza Rossano
1998,1,Antonio Vivaldi
1998,2,Claude Blouquit
1998,2,Marc Bompis
2002,1,Becky Rogers
2002,1,Jeff Meckstroth
2002,2,Elisabeth Hugon
2002,2,Jean-Jacques Palau
2006,1,Karen McCallum
2006,1,Matt Granovetter
2006,2,Jill Levin
2006,2,Bobby Levin
2010,1,Donna Compton
2010,1,Fulvio Fantoni
2010,2,Kismet Fung
2010,2,Brian Glubok
