1952,Al Roth
1953,John Crawford
1954,Paul Hodge
1955,Milt Ellenby
1956,Paul Hodge
1957,Lew Mathe
1958,Sylvia Stein
1959,Mort Rubinow
1960,Oswald Jacoby
1961,Phil Feldesman
1962,Marshall Miles
1963,Eric Murray
1964,Harold Rockaway
1965,Mike Lawrence
1966,Charles Coon
1967,Sami Kehela
1968,Henry Bethe
1969,Sylvia Stein
1970,Ira Rubin
1970,Chuck Burger
1971,John Grantham
1972,Steve Robinson
1973,Larry T. Cohen
1974,Fred Hamilton
1975,Walt Walvick
1976,Paul Soloway
1977,John Mohan
1978,Bob Hamman
1979,Bobby Levin
1980,Jeff Meckstroth
1981,Chip Martel
1982,Jeff Meckstroth
1982,Eric Rodwell
1983,Marty Bergen
1984,Grant Baze
1985,Eric Rodwell
1986,Kit Woolsey
1986,Ed Manfield
1987,Jill Meyers
1988,Bob Hamman
1989,Mark Molson
1990,Eddie Wold
1991,David Berkowitz
1992,Haig Tchamitch
1993,Bob Hamman
1994,Mark Lair
1995,Jeff Meckstroth
1996,Michael Rosenberg
1997,Bart Bramley
1997,Sidney Lazard
1998,Eric Rodwell
1999,Geir Helgemo
2000,George Jacobs
2001,George Jacobs
2001,Alfredo Versace
2002,Dan Morse
2003,Geoff Hampson
2004,Jeff Meckstroth
2005,Zia Mahmood
2006,Drew Casen
2006,Jim Krekorian
2007,Lew Stansby
