1958,Ivar Stakgold
1959,Lew Mathe
1960,Norman Kay 
1961,Robert Jordan
1962,Robert Jordan
1963,Sidney Silodor
1963,Norman Kay 
1964,Lew Mathe
1965,Phil Feldesman 
1966,Phil Feldesman 
1967,Lew Mathe
1968,Norman Kay 
1969,Sue Sachs
1970,Barry Crane
1971,Barry Crane
1972,Paul Swanson
1972,Jack Blair 
1973,Bobby Wolff
1974,Ron Andersen 
1975,Roger Bates
1976,Larry T. Cohen 
1977,Mark Blumenthal
1978,Mike Passell 
1979,Jeff Meckstroth
1980,Jeff Meckstroth
1980,Eric Rodwell
1981,Allan Stauber
1982,David Berkowitz
1982,Harold Lilie
1983,Mike Passell 
1984,Lew Stansby
1985,Jeff Meckstroth
1986,Lew Stansby
1987,Steve Robinson
1987,Peter Boyd 
1988,Roger Bates
1989,Eddie Wold 
1990,John Sutherlin 
1991,Zia Mahmood
1992,Roger Bates
1993,Michael Seamon 
1994,Chip Martel
1995,Michael Polowan
1996,Zia Mahmood
1997,Bart Bramley 
1998,Eddie Wold 
1999,Petra Hamman 
2000,Jeff Meckstroth
2001,Jill Meyers
2002,Paul Soloway 
2003,Geoff Hampson
2004,Fulvio Fantoni
2004,Claudio Nunes
2005,Eddie Wold 
2006,Fred Chang 
2007,Roy Welland
2008,Krzysztof Jassem
2008,Krzysztof Martens
2009,Jeff Meckstroth


