2013,Kaplan Blue Ribbon Pairs,1,Steve Weinstein,,,
2013,Kaplan Blue Ribbon Pairs,1,Agustin Madala,,,
2013,Kaplan Blue Ribbon Pairs,2,Bar Tarnovski,,,
2013,Kaplan Blue Ribbon Pairs,2,Dror Padon,,,
2012,Kaplan Blue Ribbon Pairs,1,Brian Platnick,,,
2012,Kaplan Blue Ribbon Pairs,1,John Diamond,,,
2012,Kaplan Blue Ribbon Pairs,2,Geoff Hampson,,,
2012,Kaplan Blue Ribbon Pairs,2,Eric Greco,,,
2011,Kaplan Blue Ribbon Pairs,1,Josh Donn,,,
2011,Kaplan Blue Ribbon Pairs,1,Roger Lee,,,
2011,Kaplan Blue Ribbon Pairs,2,Thomas Bessis,,,
2011,Kaplan Blue Ribbon Pairs,2,Steve Weinstein,,,
2010,Kaplan Blue Ribbon Pairs,1,Jan Jansma,,,
2010,Kaplan Blue Ribbon Pairs,1,Jay Borker,,,
2010,Kaplan Blue Ribbon Pairs,2,Bas Drijver,,,
2010,Kaplan Blue Ribbon Pairs,2,Sjoert Brink,,,
2009,Kaplan Blue Ribbon Pairs,1,Bjorn Fallenius,,,
2009,Kaplan Blue Ribbon Pairs,1,Bart Bramley,,,
2009,Kaplan Blue Ribbon Pairs,2,John Hurd,,,
2009,Kaplan Blue Ribbon Pairs,2,Joel Wooldridge,,,
2008,Kaplan Blue Ribbon Pairs,1,Eric Rodwell,,,
2008,Kaplan Blue Ribbon Pairs,1,Jeff Meckstroth,,,
2008,Kaplan Blue Ribbon Pairs,2,Frederic Wrang,,,
2008,Kaplan Blue Ribbon Pairs,2,Martin De Knijff,,,
2007,Kaplan Blue Ribbon Pairs,1,Pratap Rajadhyaksha,,,
2007,Kaplan Blue Ribbon Pairs,1,Steve Landen,,,
2007,Kaplan Blue Ribbon Pairs,2,Alejandro Bianchedi,,,
2007,Kaplan Blue Ribbon Pairs,2,Ernesto Muzzio,,,
2006,Kaplan Blue Ribbon Pairs,1,Claudio Nunes,,,
2006,Kaplan Blue Ribbon Pairs,1,Fulvio Fantoni,,,
2006,Kaplan Blue Ribbon Pairs,2,Drew Casen,,,
2006,Kaplan Blue Ribbon Pairs,2,Jim Krekorian,,,
2005,Kaplan Blue Ribbon Pairs,1,Gavin Wolpert,,,
2005,Kaplan Blue Ribbon Pairs,1,Jenny Ryman,,,
2005,Kaplan Blue Ribbon Pairs,2,Daniela von Arnim,,,
2005,Kaplan Blue Ribbon Pairs,2,Sabine Auken,,,
2004,Kaplan Blue Ribbon Pairs,1,Tarek Sadek,,,
2004,Kaplan Blue Ribbon Pairs,1,Walid Elahmady,,,
2004,Kaplan Blue Ribbon Pairs,2,Bobby Levin,,,
2004,Kaplan Blue Ribbon Pairs,2,Steve Weinstein,,,
