# List players that are not US here. Use ISO 3166-1 alpha code for country. If you add any countries, need to edit the code
Adam Zmudzinski,POL
Benedicte Cronier,FRA
Cezary Balicki,POL
Eric Kokish,CAN
C Bruce Elliott,CAN
Franck Multon,FRA
Geir Helgemo,MCO
George Rosenkranz,MEX
Lorenzo Lauria,ITA
Pierre Zimmerman,MCO
Sabine Auken,GER
Sam Lev,ISR
# Jaroslaw Piasecki,

# From Gold Cup
A H Bishop,ENG
Abe Wolfers,ENG
Adam Meredith,ENG
Alan Hiron,ENG
Alan Kay,ENG
Alan Mould,ENG
Alan Truscott,ENG
Alan Wardman,ENG
Alan Woo,ENG
Albert Dormer,ENG
Albert Rose,ENG
Alex Morris,ENG
Alexander Allfrey,ENG
Alf Finlay,ENG
Andrew Dyson,ENG
Andrew MacNair,ENG
Andrew McIntosh,ENG
Andrew Robson,ENG
Andrew Thompson,ENG
Andy Bowles,ENG
Anil Ruia,ENG
Anthony Milford,ENG
Archie Winetrobe,ENG
Artur Malinowski,ENG
Barnet Shenkin,ENG
Barry Myers,ENG
Barry Posner,ENG
Barry Rigal,ENG
Ben Franks,ENG
Ben Green,ENG
Bernard Goldenfield,ENG
Bill Hirst,ENG
Bill Mitchell,ENG
Bill Niccol,ENG
Bill Pencharz,ENG
Bim Ruia,ENG
Bob Rowlands,ENG
Bob Sharples,ENG
Boris Schapiro,ENG
Boris Shapiro,ENG
Brian Callaghan,ENG
Brian Mervis,ENG
Brian Senior,ENG
Brian Short,ENG
Cameron Small,ENG
Chris Dixon,ENG
Claude Rodrigue,ENG
Colin Bishop,ENG
Colin Harding,ENG
Cuthbert Collingwood,ENG
D Whyte,ENG
David Bakhshi,ENG
David Barton,ENG
David Bretherton,ENG
David Burn,ENG
David Collins,ENG
David Edwin,ENG
David Gold,ENG
David Greenwood,ENG
David Huggett,ENG
David Jones,ENG
David Kendrick,ENG
David Liggat,ENG
David Mossop,ENG
David Stevenson,ENG
David Walker,ENG
Denis Robson,ENG
Derek Patterson,ENG
Derek Rimington,ENG
Dick Pathan,ENG
Dick Shek,ENG
Dimmie Fleming,ENG
Dorothy Shanahan,ENG
Douglas Piper,ENG
Douglas Romain,ENG
Douglas Smerdon,ENG
Dr Gerald Haase,ENG
Dr Hans Leist,ENG
Dr John Matheson,ENG
Dr Melvyn Rockfelt,ENG
Dr Paul Stern,ENG
Dr Sidney Lee,ENG
Dr Tony Sowter,ENG
Duncan Happer,ENG
E Gordon,ENG
Ed Jones,ENG
Edward Mayer,ENG
Edward Rayne,ENG
Eric Crowhurst,ENG
Eric Newman,ENG
Espen Erichsen,ENG
Ewart Kempson,ENG
Frances Hinden,ENG
Frank Farrington,ENG
Freddie North,ENG
Frederic Wrang,ENG
Fredrik Bjornlund,ENG
Fritzi Gordon,ENG
Garry Watson,ENG
Gary Hyett,ENG
Geoffrey Breskal,ENG
Gerald Haase,ENG
Gerald Soper,ENG
Gerald Tredinnick,ENG
Glyn Liggins,ENG
Govind Ruia,ENG
Graham Allan,ENG
Graham Cooke,ENG
Graham Cuthbertson,ENG
Graham Horsley,ENG
Graham Kirby,ENG
Graham Link,ENG
Graham Mathieson,ENG
Graham Osborne,ENG
Gunnar Halberg,ENG
Gunnar Hallberg,ENG
Gus Calderwood,ENG
H Frost,ENG
Harold Franklin,ENG
Harold Lever MP,ENG
Harry Cohen,ENG
Harry St J Ingram,ENG
Harry St. J Ingram,ENG
Henry Beasley,ENG
Herbert Newmark,ENG
Horace Renshaw,ENG
Howard Cohen,ENG
Howard Melbourne,ENG
Hugh Kelsey,ENG
Ian Lancaster,ENG
Ian Macleod,ENG
Ian Monachan,ENG
Ian Morrison,ENG
Ian Panto,ENG
Ian Reissmann,ENG
Irving Gordon,ENG
Irving Manning,ENG
Irving Rose,ENG
J Bloomberg,ENG
J Gerard Faulkner,ENG
J K Mannooch,ENG
J Pearlstone,ENG
Jack CH Marx,ENG
Jack James,ENG
Jack Marx,ENG
Jack Nunes,ENG
Jack Paterson,ENG
Jack Tottenham,ENG
Jane Priday,ENG
Janet de Botton,ENG
Jason Hackett,ENG
Jeff Morris,ENG
Jeffrey Allerton,ENG
Jeremy Flint,ENG
Jerry Cope,ENG
Jim Bacon,ENG
Jim Mason,ENG
Jim Niblett,ENG
Jim Patrick,ENG
Jim Sharples,ENG
Joe Amsbury,ENG
Joe Bloomberg,ENG
Joe Fawcett,ENG
Joe Lazarus,ENG
Joel Tarlo,ENG
John Armstrong,ENG
John Buck,ENG
John Collings,ENG
John Elliott,ENG
John Frostzega,ENG
John Frosztega,ENG
John Hassett,ENG
John Helme,ENG
John Hobson,ENG
John Holland,ENG
John Howard,ENG
John Matheson,ENG
John McMonagle,ENG
John Murdoch,ENG
John Pottage,ENG
John Pugh,ENG
John Reardon,ENG
John Sadler,ENG
John Short,ENG
Jonathan Cansino,ENG
Jordanis Pavlides,ENG
Julian Beale,ENG
Julian Pottage,ENG
Justin Hackett,ENG
Keith Loveys,ENG
Keith Stanley,ENG
Ken Baxter,ENG
Kenneth Barbour,ENG
Kenneth Konstam,ENG
L Ritte,ENG
Len Shenkin,ENG
Leo Baron,ENG
Les Steel,ENG
Leslie Dodds,ENG
Leslie Klein,ENG
Leslie W Dodds,ENG
Lionel Wolfers,ENG
Lionel Wright,ENG
Louis Rose,ENG
Louis Shenkin,ENG
Louis Tarlo,ENG
M Dale,ENG
Major Dewhurst,ENG
Malcolm Cuthbertson,ENG
