# Oct 20, 2014
Fulvio Fantoni,Monaco 4807 44
Claudio Nunes,Monaco 4647 42
Alfredo Versace,Italy 4234 51
Giorgio Duboin,Italy 4052 45
Lorenzo Lauria,Italy 3992 55.5
Norberto Bocchi,Italy 3365 39
Geir Helgemo,Monaco 3305 37.5
Tor Helness,Monaco 3253 39
Jeff Meckstroth,U.S.A. 3173 61.25
Bob Hamman,U.S.A. 3067 109.25
Eric Rodwell,U.S.A. 3010 60.75
Zia Mahmood,U.S.A. 2795 32.25
Cezary Balicki,Poland 2663 31
Antonio Sementa,Italy 2621 21
Franck Multon,Monaco 2533 24
Nick Nickell,U.S.A. 2526 38.25
Adam Zmudzinski,Poland 2426 31
Bauke Muller,Netherlands 2354 18
Bobby Levin,U.S.A. 2330 22
Pierre Zimmermann,Monaco 2313 14
Louk Verhees Jr,Netherlands 2275 11
Sjoert Brink,Netherlands 2264 12.5
Bas Drijver,Netherlands 2229 12.5
Simon De Wijs,Netherlands 2204 10
Steve Weinstein,U.S.A. 2156 14
Ricco Van Prooijen,Netherlands 2155 10.5
Ralph Katz,U.S.A. 2150 22.25
Peter Bertheau,Sweden 1971 11.5
Agustin Madala,Italy 1943 10
Fredrik Nystrom,Sweden 1915 11.5
Jacek Pszczola,U.S.A. 1901 17
Michael Rosenberg,U.S.A. 1734 26.25
Chip Martel,U.S.A. 1731 41.5
Zhong Fu,China 1609 10.5
Geoff Hampson,U.S.A. 1584 12.75
Brad Moss,U.S.A. 1556 11.75
Eric Greco,U.S.A. 1536 10.25
Alan Sontag,U.S.A. 1506 21.5
Boye Brogeland Norway 1456 15.5
Lew Stansby,U.S.A. 1446 41.5
Fred Gitelman,U.S.A. 1386 15.25
Glenn Groetheim Norway 1339 17.5
Gabriel Chagas,Brazil 1305 41.5
Erik Saelensminde Norway 1186 14.5
David Berkowitz,U.S.A. 1157 10.5
Richard Freeman,U.S.A. 1136 28.75
Piotr Gawrys,Poland 1051 18
Giorgio Belladonna,Italy 1010 75.5
Paul Soloway,U.S.A. 977 44.75
Krzysztof Martens,Poland 918 17.5
Marcelo Castello Branco,Brazil 875 35.5
Walter Avarelli,Italy 867 44
Roger Trezel,France 842 17.5
Jeremy Flint,Great Britain 792 14.5
Berry Westra,Netherlands 782 10
Michal Kwiecien,Poland 711 12
Piotr Tuszynski,Poland 643 11
Peter Weichsel,U.S.A. 571 17.5
Rose Meltzer,U.S.A. 562 12.5
Alain Levy,France 544 15
Kyle Larsen,U.S.A. 542 11.5
Paul Chemla,France 541 28
Ron Rubin,U.S.A. 539 11.25
Marcin Lesniewski,Poland 532 11
Roger Bates,U.S.A. 474 12
Herve Mouiel,France 472 21
Bobby Wolff,U.S.A. 468 70.25
Kit Woolsey,U.S.A. 451 10
Mike Passell,U.S.A. 445 15
Massimo D'Alelio,Italy 364 49
Dano De Falco,Italy 329 16.5
Roberto De Mello,Brazil 304 15.5
Christian Mari,France 270 19.5
Seymon Deutsch,U.S.A. 268 15
Michel Perron,France 256 23
Pierre Jais,France 256 12
Nico Gardener,Great Britain 184 10
Henri Szwarc,France 172 19.5
Benito Bianchi,Italy 156 14
Michel Lebel,France 153 18.5
Pedro Paulo Castello Branco,Brazil 152 11.5
Terence Reese,Great Britain 146 14
Hugh ROSS,U.S.A. 145 22
Pedro Paulo ASSUMPCAO,Brazil 138 14.5
Michael Lawrence,U.S.A. 110 23.5
Benito Garozzo,Italy 74 75.5
Claude Delmouly,France 55 7.5
Billy Eisenberg,U.S.A. 40 25.5
Arturo Franco,Italy 37 20
Edwin Kantar,U.S.A. 31 14
Gabino Cintra,Brazil 26 17
Fred Hamilton,U.S.A. 26 13.5
Christiano Fonseca,Brazil 14 10
Hans Kreijns,Netherlands 14 9.5
Pietro Forquet,Italy 0 58
Camillo Pabis Ticci,Italy 0 36
Ira Rubin,U.S.A. 0 16.5
Boris Schapiro,Great Britain 0 14
Gerald Bourchtoff,France 0 7.5
Guglielmo Siniscalco,Italy 0 4
