# OPEN WORLD INTERNATIONAL MASTERS
# Rank Name Country MPs PPs
Vadim Kholomeev,Russia 1304 3
Joe Grue,U.S.A. 1259 4.5
Yury Khiuppenen,Russia 1222 3
Joel Wooldridge,U.S.A. 1136 4.5
Martin Fleisher,U.S.A. 1134 3.5
John Hurd,U.S.A. 1128 4.5
Mike Kamil,U.S.A. 1119 4
David Gold,England 1012 4
Tom Townsend,England 991 4
Tom Hanlon,Ireland 984 3.5
Michael Gromoeller,Germany 954 2.5
John Carroll,Ireland 937 3.5
Tommy Garvey,Ireland 937 3.5
Huub Bertens,U.S.A. 929 3
Ron Pachtman,Israel 929 2
Jerzy Zaremba,Poland 920 4
Justin Lall,U.S.A. 917 4.5
Justin Hackett,England 906 4
Piotr Zak,Poland 900 4
Hugh McGann,Ireland 879 3.5
Chris Willenken,U.S.A. 867 2.5
Jason Hackett,England 866 4
Adam Mesbur,Ireland 837 3.5
Nicholas Fitzgibbon,Ireland 834 3.5
Gert-jan Paulissen,Netherlands 817 0.5
Gavin Wolpert,U.S.A. 795 2
Ton Bakkeren,Netherlands 793 3
Daniel Zagorin,U.S.A. 783 4.5
Tarek Sadek,Egypt 783 3.5
Jean-christophe,QUANTIN France 780 0.5
Ruoyang Lian,China 770 0.5
John Kranyak,U.S.A. 767 2
Weimin Wang,China 761 2.5
Darren Wolpert,Canada 747 1
Kazuo Furuta,Japan 736 0.5
Xu Hou,China 735 1
Jie Li China,734 0.5
Robert Parasian Tobing,Indonesia 727 4
Nicklas Sandqvist,England 715 4
Andrew Robson,England 714 2
Taufik Gautama Asbi,Indonesia 709 3.5
Vladimir Mihov,Bulgaria 706 2.5
David Bakhshi,England 699 0
Tadashi Teramoto,Japan 696 1.5
Julian Stefanov,Bulgaria 695 3
Kalin Karaivanov,Bulgaria 693 3.5
Kevin Dwyer,U.S.A. 686 2
Jing Liu,China 665 0.5
Artur Malinowski,England 662 4
Roy Welland,Germany 657 3
Craig Gower,South Africa 653 3.5
Daniel Korbel,Canada 652 1
Roumen Trendafilov,Bulgaria 648 3.5
Waleed El Ahmady,Egypt 635 3
Masayuki Ino,Japan 634 1.5
Jacek Kalita,Poland 621 1.5
Victor Aronov,Bulgaria 620 2
Tim Cope,South Africa 618 3
Vincent Ramondt,Netherlands 609 2
Bangxiang Zhang,China 604 0
Pablo Lambardi,Argentina 601 1.5
Ilan Herbst,Israel 599 1.5
Nabil Edgtton,Australia 576 1
Jerry Stamatov,Bulgaria 575 2.5
Adam Wildavsky,U.S.A. 566 4.75
Neville Eber,South Africa 565 3
Rajeshwar Tewari,India 559 1.5
Miao Shi,China 559 0.5
Ophir Herbst,Israel 554 1.5
Glen Holman,South Africa 554 1.5
Boguslaw Gierulski,Poland 552 1
Bachiraju Satyanarayana,India 540 2
Tony Nunn,Australia 537 1
Sunit Chokshi,India 529 1.5
John Paul Gosney,Australia 526 1
Shaolin Sun,China 524 2.5
Krzysztof Kotorowicz,Poland 523 1.5
Sartaj Hans,Australia 523 1
Magnus Eidur Magnusson,Iceland 521 1
Nicholas Gartaganis,Canada 519 1
Entscho Wladow,Germany 517 2
Tony Forrester,England 512 3.5
Andreas Kirmse,Germany 502 2.5
Dennis Bilde,Denmark 502 0
Michael Elinescu,Germany 500 2
Georgi Karakolev,Bulgaria 499 2
Mao Yuan Hu,China 493 1.5
Alon Apteker,South Africa 491 2
Subhash Gupta,India 490 2
Alexander Allfrey,England 490 0
Judith Gartaganis,Canada 482 1
Richard Jeng,U.S.A. 479 0
Tomasz Gotard,Germany 476 0.5
Jorgen Molberg,Norway 473 4
Sumit Mukherjee,India 472 0
Nicolas L'Ecuyer,Canada 471 0
Kadayam Raman Venkataraman,India 468 2
Kiran Nadar,India 467 1.5
Thomas Charlsen,Norway 465 0
Ashley Bach,New Zealand 463 1
Diyan Danailov,Bulgaria 462 2
