1962,1,Pierre Jaïs
1962,1,Roger Trézel
1962,2,Terence Reese
1962,2,Boris Schapiro
1966,1,Hans Kreijns
1966,1,Bob Slavenburg
1966,2,John Fisher
1966,2,Jim Jacoby
1970,1,Fritz Babsch
1970,1,Peter Manhardt
1970,2,Benito Garozzo
1970,2,Federico Mayer
1974,1,Bob Hamman
1974,1,Bobby Wolff
1974,2,Adriano Abate
1974,2,Leandro Burgay
1978,1,Marcelo Branco
1978,1,Gabino Cintra
1978,2,Eric Kokish
1978,2,Peter Nagy
1982,1,Chip Martel
1982,1,Lew Stansby
1982,2,Anton Maas
1982,2,Max Rebattu
1986,1,Jeff Meckstroth
1986,1,Eric Rodwell
1986,2,Heinrich Berger
1986,2,Wolfgang Meinl
1990,1,Marcelo Branco
1990,1,Gabriel Chagas
1990,2,Ralph Katz
1990,2,Peter Nagy
1994,1,Marcin Leśniewski
1994,1,Marek Szymanowski
1994,2,Bob Hamman
1994,2,Michael Rosenberg
1998,1,Michał Kwiecień
1998,1,Jacek Pszczoła
1998,2,David Berkowitz
1998,2,Larry N. Cohen
2002,1,Fulvio Fantoni
2002,1,Claudio Nunes
2002,2,Zia Mahmood
2002,2,Michael Rosenberg
2006,1,FU Zhong
2006,1,ZHAO Jie
2006,2,Bobby Levin
2006,2,Steve Weinstein
2010,1,Bobby Levin
2010,1,Steve Weinstein
2010,2,Björn Fallenius
2010,2,Peter Fredin
